coin,ext_atr_at_entry,rsi_at_entry,max_adverse_pct,duration_h,return_pct,layers
STX,,,1.42,24,2.97,2
STX,,,10.48,456,2.97,3
STX,,,0.74,2,2.97,1
STX,,,2.56,17,2.97,2
STX,,,0.82,7,2.97,1
STX,,,0.0,1,2.97,1
STX,,,2.95,87,2.97,2
STX,,,1.34,28,2.97,2
SEI,,,3.4,34,2.97,3
SEI,,,3.55,35,2.97,3
SEI,,,0.91,12,2.97,1
SEI,,,5.7,198,2.97,3
SEI,,,7.62,129,2.97,3
SEI,,,9.42,396,2.97,3
SEI,,,0.37,6,2.97,1
SEI,,,11.13,313,2.97,3
SEI,1.427,60.5,0.0,3,2.97,1
RENDER,,,2.22,24,2.97,2
RENDER,,,0.0,3,2.97,1
RENDER,,,4.13,40,2.97,3
RENDER,,,0.0,1,2.97,1
RENDER,,,0.61,7,2.97,1
RENDER,,,19.93,1134,2.97,3
RENDER,2.54,74.5,1.79,14,2.97,2
RENDER,2.807,59.5,0.51,2,2.97,1
SUI,,,2.66,26,2.97,3
SUI,,,0.84,7,2.97,1
SUI,,,3.76,35,2.97,3
SUI,,,5.33,196,2.97,3
SUI,,,1.12,12,2.97,2
SUI,,,0.31,5,2.97,1
SUI,,,1.91,14,2.97,2
SUI,,,13.73,514,2.97,3
FET,,,3.4,24,2.97,3
FET,,,7.38,45,2.97,3
FET,,,1.34,7,2.97,2
FET,,,24.74,1157,2.97,3
FET,2.022,61.9,0.8,3,2.97,1
FET,2.181,61.9,1.98,8,2.97,2
FET,1.607,56.4,8.87,48,2.97,3
FET,1.323,70.7,1.82,4,2.97,2
FET,1.658,70.7,4.86,9,2.97,3
FET,1.981,70.7,1.28,2,2.97,2
FET,1.41,70.7,2.75,10,2.97,2
FET,1.759,65.8,1.09,3,2.97,1
FET,2.536,65.8,1.16,2,2.97,2
FET,2.716,65.8,1.78,8,2.97,2
FET,2.659,67.0,0.68,3,2.97,1
FET,2.856,67.0,4.87,16,2.97,3
FET,2.712,67.0,2.55,5,2.97,3
FET,2.815,53.8,1.94,7,2.97,2
FET,2.705,53.8,5.82,7,2.97,3
FET,2.668,53.8,3.04,10,2.97,3
TAO,,,1.57,23,2.97,2
TAO,,,1.0,4,2.97,1
TAO,,,1.44,5,2.97,1
TAO,,,3.22,34,2.97,3
TAO,,,0.86,9,2.97,1
TON,,,1.64,77,2.97,2
TON,,,3.46,33,2.97,3
TON,,,2.53,28,2.97,2
TON,,,0.1,10,2.97,1
TON,,,0.17,3,2.97,1
TON,,,0.6,4,2.97,1
TON,,,1.04,2,2.97,2
TON,,,0.23,2,2.97,1
TON,,,12.02,550,2.97,3
TON,,,6.2,20,2.97,3
TON,,,3.75,60,2.97,3
TON,,,2.85,9,2.97,2
TON,,,1.34,8,2.97,1
TON,,,3.9,32,2.97,3
TON,,,17.41,120,2.97,3
TON,2.017,52.2,15.0,165,2.97,3
JUP,,,2.88,32,2.97,2
JUP,,,5.19,38,2.97,3
JUP,,,5.74,195,2.97,3
JUP,,,1.21,14,2.97,2
JUP,,,0.86,13,2.97,1
JUP,,,8.82,234,2.97,3
JUP,,,7.7,201,2.97,3
JUP,,,1.67,20,2.97,2
JUP,,,1.41,3,2.97,2
JUP,,,3.0,17,2.97,3
JUP,,,1.07,15,2.97,2
JUP,,,35.57,997,2.97,3
JUP,1.957,67.6,8.01,35,2.97,3
JUP,1.527,59.3,1.08,5,2.97,1
JUP,1.794,55.2,12.29,106,2.97,3
JUP,2.052,65.7,1.84,10,2.97,2
JUP,2.14,65.7,2.44,12,2.97,2
KAS,,,2.27,69,2.97,2
KAS,,,0.91,11,2.97,2
KAS,,,3.46,57,2.97,3
KAS,,,5.95,155,2.97,3
KAS,,,0.0,3,2.97,1
KAS,,,11.06,475,2.97,3
KAS,,,4.46,62,2.97,3
KAS,,,1.46,16,2.97,2
PENDLE,,,6.51,33,2.97,3
PENDLE,,,7.06,40,2.97,3
PENDLE,,,3.9,39,2.97,3
PENDLE,,,1.57,25,2.97,2
PENDLE,,,1.44,21,2.97,2
PENDLE,,,7.97,111,2.97,3
PENDLE,,,0.02,2,2.97,1
PENDLE,,,0.0,5,2.97,1
PENDLE,,,1.22,16,2.97,2
PENDLE,,,0.03,2,2.97,1
PENDLE,,,8.07,213,2.97,3
PENDLE,,,1.14,4,2.97,2
PENDLE,,,0.45,2,2.97,1
PENDLE,,,1.19,3,2.97,1
PENDLE,,,11.91,148,2.97,3
PYTH,,,3.21,41,2.97,3
PYTH,,,2.56,24,2.97,3
PYTH,,,0.74,3,2.97,1
PYTH,,,0.93,8,2.97,1
PYTH,,,5.1,31,2.97,3
PYTH,,,0.89,4,2.97,1
PYTH,,,0.0,1,2.97,1
PYTH,,,10.54,163,2.97,3
PYTH,,,10.95,170,2.97,3
PYTH,,,11.42,300,2.97,3
PYTH,,,4.4,25,2.97,3
PYTH,,,2.06,19,2.97,2
PYTH,,,1.03,8,2.97,1
PYTH,,,0.0,4,2.97,1
TIA,,,2.76,33,2.97,2
TIA,,,4.61,36,2.97,3
TIA,,,3.6,47,2.97,3
TIA,,,1.41,43,2.97,1
TIA,,,5.89,88,2.97,3
TIA,,,0.03,7,2.97,1
TIA,,,0.57,7,2.97,1
TIA,,,0.0,8,2.97,1
TIA,,,1.84,2,2.97,2
TIA,,,0.0,1,2.97,1
TIA,,,1.21,5,2.97,2
TIA,,,0.02,11,2.97,1
TIA,,,10.59,360,2.97,3
TIA,,,1.48,7,2.97,2
TIA,,,0.91,5,2.97,1
TIA,,,0.4,5,2.97,1
TIA,,,0.1,2,2.97,1
TIA,,,0.52,2,2.97,1
TIA,,,3.48,46,2.97,3
TIA,,,2.75,39,2.97,2
TIA,,,1.44,4,2.97,2
TIA,,,2.77,22,2.97,2
TIA,,,0.2,8,2.97,1
TIA,,,2.27,9,2.97,2
TIA,,,9.65,31,2.97,3
TIA,,,6.42,40,2.97,3
TIA,1.837,64.4,0.0,2,2.97,1
TIA,2.629,64.4,2.3,16,2.97,2
ONDO,,,2.22,24,2.97,2
ONDO,,,0.0,3,2.97,1
ONDO,,,4.22,41,2.97,3
ONDO,,,8.61,212,2.97,3
ONDO,,,2.69,20,2.97,3
ONDO,,,7.73,357,2.97,3
ONDO,,,1.35,29,2.97,2
ONDO,,,1.12,5,2.97,2
ONDO,,,0.89,3,2.97,1
ONDO,,,0.0,1,2.97,1
ONDO,,,2.24,20,2.97,2
ONDO,,,0.0,1,2.97,1
ONDO,,,0.0,3,2.97,1
ONDO,,,6.79,36,2.97,3
ONDO,,,1.71,10,2.97,2
ONDO,2.621,52.7,1.24,10,2.97,2
ENA,,,2.66,24,2.97,3
ENA,,,0.4,9,2.97,1
ENA,,,3.1,32,2.97,3
ENA,,,0.0,1,2.97,1
ENA,,,0.58,3,2.97,1
ENA,,,0.91,5,2.97,1
ENA,,,5.92,43,2.97,3
ENA,,,1.02,2,2.97,2
ENA,,,1.91,9,2.97,2
ENA,,,2.86,25,2.97,3
ENA,,,5.9,51,2.97,3
ENA,,,5.29,54,2.97,3
ENA,,,1.65,9,2.97,2
ENA,,,0.0,1,2.97,1
ENA,,,2.4,19,2.97,2
ENA,,,0.02,2,2.97,1
ENA,,,4.02,123,2.97,3
ENA,,,9.96,207,2.97,3
ENA,,,1.27,13,2.97,1
ENA,,,0.0,1,2.97,1
ENA,,,5.5,23,2.97,3
ENA,,,4.51,27,2.97,3
ENA,,,0.45,2,2.97,1
ENA,,,0.36,2,2.97,1
ENA,,,0.98,15,2.97,2
EIGEN,,,2.52,24,2.97,2
EIGEN,,,0.0,1,2.97,1
EIGEN,,,4.97,43,2.97,3
EIGEN,,,1.22,7,2.97,1
EIGEN,,,9.93,187,2.97,3
EIGEN,,,0.0,1,2.97,1
EIGEN,,,1.22,7,2.97,1
EIGEN,,,0.35,2,2.97,1
EIGEN,,,0.83,2,2.97,1
EIGEN,,,1.78,19,2.97,2
EIGEN,,,0.0,1,2.97,1
EIGEN,,,16.16,436,2.97,3
EIGEN,,,3.32,9,2.97,3
EIGEN,,,0.42,2,2.97,1
EIGEN,,,4.23,45,2.97,3
EIGEN,,,0.55,2,2.97,1
EIGEN,,,0.71,6,2.97,1
EIGEN,,,5.18,80,2.97,3
EIGEN,,,1.9,28,2.97,2
EIGEN,,,1.14,11,2.97,2
EIGEN,,,1.77,4,2.97,2
EIGEN,,,6.38,26,2.97,3
EIGEN,,,0.0,1,2.97,1
EIGEN,,,1.34,2,2.97,1
EIGEN,,,1.04,7,2.97,2
EIGEN,,,3.71,28,2.97,3
EIGEN,2.148,67.9,0.0,3,2.97,1
W,,,2.69,26,2.97,2
W,,,0.77,28,2.97,1
W,,,2.24,14,2.97,2
W,,,16.46,408,2.97,3
W,,,0.0,1,2.97,1
W,,,18.01,328,2.97,3
W,,,1.02,7,2.97,1
W,,,4.74,27,2.97,3
W,,,0.0,1,2.97,1
W,,,1.39,4,2.97,2
W,,,2.57,32,2.97,3
W,,,5.28,23,2.97,3
ZRO,,,4.47,34,2.97,3
ZRO,,,7.6,33,2.97,3
ZRO,,,0.0,1,2.97,1
HYPE,,,1.94,23,2.97,2
HYPE,,,2.25,45,2.97,2
HYPE,,,1.17,11,2.97,2
HYPE,,,2.99,31,2.97,3
HYPE,,,1.17,8,2.97,2
HYPE,,,0.35,9,2.97,1
HYPE,,,0.6,29,2.97,1
HYPE,,,5.24,47,2.97,3
HYPE,,,1.12,7,2.97,1
HYPE,,,2.95,50,2.97,2
ASTER,,,1.38,70,2.97,2
ASTER,,,2.8,155,2.97,3
ASTER,,,8.28,589,2.97,3
ASTER,,,0.31,3,2.97,1
ASTER,,,2.56,36,2.97,2
ASTER,,,10.62,255,2.97,3
ASTER,,,4.12,71,2.97,3
ASTER,,,0.17,3,2.97,1
ASTER,,,1.24,17,2.97,2
ASTER,1.207,52.1,6.54,128,2.97,3
ASTER,1.663,60.1,0.92,2,2.97,2
ASTER,2.342,60.1,2.31,4,2.97,2
ASTER,1.823,51.3,0.43,2,2.97,1
ASTER,1.949,51.3,0.42,2,2.97,1
ASTER,1.747,51.3,20.04,413,2.97,3
ASTER,1.929,46.4,0.0,1,2.97,1
ASTER,2.143,46.4,0.0,1,2.97,1
AAVE,,,2.98,26,2.97,3
AAVE,,,10.12,170,2.97,3
AAVE,,,3.6,16,2.97,3
AAVE,,,4.21,39,2.97,3
AAVE,,,3.13,24,2.97,3
AAVE,,,0.0,1,2.97,1
AAVE,,,2.25,18,2.97,2
