coin,ext_atr_at_entry,rsi_at_entry,max_adverse_pct,duration_h,return_pct,layers
SOL,,,8.4,4,2.97,3
SOL,,,0.0,1,2.97,1
SOL,,,1.8,7,2.97,2
SOL,,,0.42,2,2.97,1
SOL,,,2.59,3,2.97,2
SOL,,,0.0,1,2.97,1
SOL,,,1.18,2,2.97,1
SOL,,,2.2,4,2.97,2
SOL,,,1.26,2,2.97,2
SOL,,,6.53,33,2.97,3
SOL,,,0.18,2,2.97,1
SOL,,,0.0,1,2.97,1
SOL,,,0.0,1,2.97,1
SOL,,,1.34,4,2.97,2
SOL,,,9.39,25,2.97,3
SOL,,,1.73,3,2.97,2
SOL,,,2.54,4,2.97,2
SOL,,,78.16,3687,2.97,3
SOL,4.683,68.1,12.76,62,2.97,3
SOL,3.047,67.1,11.34,19,2.97,3
SOL,2.376,57.0,2.31,14,2.97,2
SOL,2.483,57.0,4.39,21,2.97,3
SOL,2.268,59.8,1.38,4,2.97,2
SOL,2.519,59.8,0.27,2,2.97,1
SOL,2.538,59.8,1.5,12,2.97,2
SOL,2.861,58.7,1.11,6,2.97,2
SOL,2.904,58.7,3.8,33,2.97,3
SOL,3.0,59.5,1.43,9,2.97,2
SOL,2.099,55.1,4.25,41,2.97,3
SOL,2.179,55.1,1.04,23,2.97,2
SOL,2.322,54.8,2.98,41,2.97,3
SOL,2.502,55.7,7.01,39,2.97,3
SOL,2.731,53.8,0.0,1,2.97,1
SOL,2.94,53.8,0.65,2,2.97,1
SOL,3.923,57.6,23.43,56,2.97,3
SOL,2.697,69.7,6.14,5,2.97,3
SOL,2.986,69.7,2.92,3,2.97,2
SOL,4.094,67.6,7.03,62,2.97,3
SOL,3.256,58.9,4.77,39,2.97,3
SOL,0.156,37.2,0.0,1,2.97,1
SOL,0.118,37.2,48.88,299,2.97,3
SOL,0.046,51.5,1.45,3,2.97,2
SOL,0.043,51.5,0.48,2,2.97,1
SOL,0.208,51.5,12.79,28,2.97,3
SOL,0.421,56.0,9.05,37,2.97,3
SOL,0.55,51.6,2.81,9,2.97,3
SOL,0.511,54.5,1.38,4,2.97,2
SOL,0.604,54.5,53.2,546,2.97,3
SOL,7.631,66.8,12.06,468,2.97,3
SOL,1.407,52.4,3.44,36,2.97,3
SOL,1.197,51.8,1.35,3,2.97,2
SOL,1.388,51.8,1.26,55,2.97,1
SOL,1.585,52.1,8.44,170,2.97,3
SOL,1.463,60.8,0.87,11,2.97,1
SOL,1.857,60.8,1.3,21,2.97,2
SOL,1.465,60.2,1.38,21,2.97,1
SOL,1.894,55.7,3.76,82,2.97,3
SOL,2.378,68.3,1.41,23,2.97,1
SOL,1.583,50.0,5.86,96,2.97,3
SOL,1.715,70.1,0.0,1,2.97,1
SOL,2.878,70.1,1.59,9,2.97,2
SOL,3.009,62.4,4.05,38,2.97,3
SOL,1.661,52.2,2.67,18,2.97,3
SOL,1.825,52.2,0.21,2,2.97,1
SOL,2.399,52.2,2.05,4,2.97,2
SOL,2.346,55.7,4.38,32,2.97,3
SOL,2.403,56.2,5.19,13,2.97,3
SOL,2.379,56.9,29.49,1045,2.97,3
SOL,2.024,68.0,0.0,1,2.97,1
SOL,2.747,68.0,1.75,5,2.97,2
SOL,2.408,62.6,1.37,4,2.97,2
SOL,2.911,62.6,0.0,1,2.97,1
SOL,1.898,65.7,1.62,5,2.97,2
SOL,2.4,65.7,0.94,8,2.97,2
XRP,,,2.73,97,2.97,3
XRP,,,0.62,30,2.97,1
XRP,,,0.73,3,2.97,1
XRP,,,0.21,3,2.97,1
XRP,,,7.07,184,2.97,3
XRP,,,1.05,4,2.97,1
XRP,,,0.0,1,2.97,1
XRP,,,3.68,20,2.97,3
XRP,,,5.18,52,2.97,3
XRP,,,1.72,20,2.97,2
XRP,,,1.14,13,2.97,1
XRP,,,10.34,280,2.97,3
XRP,,,3.0,59,2.97,3
XRP,,,2.59,51,2.97,2
XRP,,,1.48,12,2.97,1
XRP,,,66.18,3938,2.97,3
XRP,4.08,69.6,3.05,55,2.97,3
XRP,2.324,53.9,11.01,270,2.97,3
XRP,1.957,48.6,2.17,17,2.97,2
XRP,1.944,37.1,25.51,1835,2.97,3
XRP,3.639,68.8,4.42,13,2.97,3
XRP,3.043,62.4,1.14,4,2.97,2
XRP,2.709,53.2,2.11,20,2.97,2
XRP,2.812,53.2,6.25,22,2.97,3
XRP,2.663,48.5,19.04,123,2.97,3
XRP,1.992,56.8,3.42,10,2.97,3
XRP,1.975,56.8,1.44,2,2.97,1
XRP,2.432,56.8,1.12,2,2.97,1
XRP,2.494,56.8,3.03,2,2.97,2
XRP,2.352,56.8,3.22,2,2.97,2
XRP,2.113,56.8,2.72,2,2.97,2
XRP,2.333,55.9,70.41,1080,2.97,3
XRP,1.478,64.3,1.1,5,2.97,2
XRP,1.593,64.3,1.08,7,2.97,2
XRP,1.896,64.3,1.09,2,2.97,2
XRP,1.876,64.3,0.99,7,2.97,2
XRP,2.045,66.8,0.82,3,2.97,1
XRP,2.347,66.8,4.03,19,2.97,3
XRP,2.378,68.9,0.0,1,2.97,1
XRP,2.485,68.9,2.37,4,2.97,2
XRP,2.094,59.5,0.37,2,2.97,1
XRP,2.133,59.5,2.84,4,2.97,2
XRP,2.291,59.5,1.05,2,2.97,1
XRP,2.377,59.5,0.92,5,2.97,1
XRP,2.554,59.5,4.96,43,2.97,3
XRP,2.61,55.0,1.51,7,2.97,2
XRP,2.644,55.0,0.98,9,2.97,1
XRP,2.547,58.4,14.53,46,2.97,3
XRP,2.559,49.3,1.82,2,2.97,2
XRP,2.195,49.3,3.48,2,2.97,2
XRP,2.371,49.3,8.27,4,2.97,3
XRP,2.441,49.3,0.0,1,2.97,1
XRP,2.504,49.3,36.09,664,2.97,3
XRP,1.669,64.6,0.0,1,2.97,1
XRP,1.834,64.6,0.0,1,2.97,1
XRP,2.137,64.6,5.93,8,2.97,3
XRP,1.791,50.1,3.44,6,2.97,3
XRP,1.917,50.1,21.13,208,2.97,3
XRP,1.498,66.6,3.51,29,2.97,3
XRP,1.554,59.9,1.11,8,2.97,1
XRP,1.731,59.9,1.2,3,2.97,1
XRP,1.897,59.9,2.74,3,2.97,2
XRP,2.537,66.9,9.14,48,2.97,3
XRP,3.498,57.1,1.5,2,2.97,2
XRP,2.859,57.1,4.64,2,2.97,2
XRP,2.757,57.1,0.0,1,2.97,1
XRP,2.568,57.1,2.91,2,2.97,2
XRP,2.115,57.1,0.0,1,2.97,1
XRP,2.709,57.1,1.45,2,2.97,2
XRP,2.825,57.1,2.45,4,2.97,2
XRP,1.461,46.0,15.35,3,2.97,3
XRP,0.863,46.0,0.0,1,2.97,1
XRP,0.97,46.0,2.93,3,2.97,3
XRP,1.283,46.0,0.0,1,2.97,1
XRP,1.092,46.0,1.49,2,2.97,2
XRP,1.216,46.0,2.71,4,2.97,3
XRP,1.222,46.0,0.0,1,2.97,1
XRP,1.288,46.0,0.0,1,2.97,1
XRP,1.208,45.5,0.96,3,2.97,2
XRP,1.362,45.5,8.75,32,2.97,3
XRP,1.311,57.4,15.68,13,2.97,3
XRP,1.395,58.6,2.96,5,2.97,3
XRP,1.589,58.6,1.44,4,2.97,2
XRP,1.768,58.6,0.0,1,2.97,1
XRP,2.04,58.6,5.14,3,2.97,3
XRP,2.12,58.6,0.94,2,2.97,2
XRP,2.353,56.7,1.9,3,2.97,2
XRP,2.367,56.7,2.37,5,2.97,2
XRP,2.288,56.7,3.13,3,2.97,3
XRP,2.212,56.7,1.25,4,2.97,2
XRP,2.335,56.7,1.61,5,2.97,2
XRP,2.153,58.0,5.0,17,2.97,3
XRP,2.084,58.0,2.29,5,2.97,2
XRP,2.156,64.0,1.51,3,2.97,2
XRP,2.251,64.0,3.52,21,2.97,3
XRP,2.734,65.3,0.0,1,2.97,1
XRP,2.887,65.3,2.85,5,2.97,2
XRP,1.958,59.9,2.91,10,2.97,3
XRP,2.44,59.9,1.22,2,2.97,2
XRP,2.454,59.9,2.08,5,2.97,2
XRP,2.462,59.9,1.1,3,2.97,1
XRP,2.003,53.6,1.46,7,2.97,2
XRP,2.017,53.6,23.18,145,2.97,3
XRP,1.461,54.0,14.38,48,2.97,3
