deal_id,symbol,open_time,close_time,regime,layers,invested,pnl,return_pct,duration_h
126,ATOM/USDT,2024-12-22T00:00:00+00:00,2024-12-26T00:00:00+00:00,SHORT_DCA,3,2510.35,78.7508,3.14,96.0
127,ATOM/USDT,2024-12-27T00:00:00+00:00,2024-12-29T00:00:00+00:00,SHORT_DCA,2,1991.62,66.6859,3.35,48.0
128,ATOM/USDT,2024-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,SHORT_DCA,1,1193.04,28.7485,2.41,24.0
129,ATOM/USDT,2025-01-01T00:00:00+00:00,2025-01-07T00:00:00+00:00,SHORT_DCA,5,3333.58,55.4226,1.66,144.0
130,ATOM/USDT,2025-01-08T00:00:00+00:00,2025-01-13T00:00:00+00:00,SHORT_DCA,2,2072.85,74.2114,3.58,120.0
131,ATOM/USDT,2025-01-14T00:00:00+00:00,2025-01-19T00:00:00+00:00,SHORT_DCA,3,2723.0,225.6599,8.29,120.0
132,ATOM/USDT,2025-01-20T00:00:00+00:00,2025-01-27T00:00:00+00:00,SHORT_DCA,2,2254.87,51.149,2.27,168.0
133,ATOM/USDT,2025-01-28T00:00:00+00:00,2025-02-02T00:00:00+00:00,SHORT_DCA,4,3400.51,410.6452,12.08,120.0
134,ATOM/USDT,2025-02-03T00:00:00+00:00,2025-02-04T00:00:00+00:00,SHORT_DCA,1,1516.27,66.2412,4.37,24.0
135,ATOM/USDT,2025-02-05T00:00:00+00:00,2025-02-06T00:00:00+00:00,SHORT_DCA,1,1538.15,78.5999,5.11,24.0
136,ATOM/USDT,2025-02-07T00:00:00+00:00,2025-02-24T00:00:00+00:00,SHORT_DCA,5,4338.78,224.2989,5.17,408.0
137,ATOM/USDT,2025-02-25T00:00:00+00:00,2025-03-03T00:00:00+00:00,SHORT_DCA,3,3592.0,248.0613,6.91,144.0
138,ATOM/USDT,2025-03-04T00:00:00+00:00,2025-03-08T00:00:00+00:00,SHORT_DCA,2,2937.21,77.5404,2.64,96.0
139,ATOM/USDT,2025-03-09T00:00:00+00:00,2025-03-10T00:00:00+00:00,SHORT_DCA,1,1752.37,92.3905,5.27,24.0
140,ATOM/USDT,2025-03-11T00:00:00+00:00,2025-03-29T00:00:00+00:00,SHORT_DCA,8,5602.55,86.9592,1.55,432.0
141,ATOM/USDT,2025-03-30T00:00:00+00:00,2025-04-02T00:00:00+00:00,SHORT_DCA,1,1810.52,40.4488,2.23,72.0
142,ATOM/USDT,2025-04-03T00:00:00+00:00,2025-04-06T00:00:00+00:00,SHORT_DCA,2,3099.5,192.4243,6.21,72.0
143,ATOM/USDT,2025-04-07T00:00:00+00:00,2025-04-08T00:00:00+00:00,SHORT_DCA,1,1889.88,64.4813,3.41,24.0
144,ATOM/USDT,2025-04-09T00:00:00+00:00,2025-04-10T00:00:00+00:00,SHORT_DCA,1,1910.7,77.4664,4.05,24.0
145,ATOM/USDT,2025-04-11T00:00:00+00:00,2025-04-13T00:00:00+00:00,SHORT_DCA,2,3291.36,101.9957,3.1,48.0
146,ATOM/USDT,2025-04-14T00:00:00+00:00,2025-04-15T00:00:00+00:00,SHORT_DCA,1,1968.79,67.6792,3.44,24.0
147,ATOM/USDT,2025-04-16T00:00:00+00:00,2025-05-04T00:00:00+00:00,SHORT_DCA,5,5520.27,110.1273,1.99,432.0
148,ATOM/USDT,2025-05-05T00:00:00+00:00,2025-05-30T00:00:00+00:00,SHORT_DCA,9,6477.91,236.6519,3.65,600.0
149,ATOM/USDT,2025-05-31T00:00:00+00:00,2025-06-04T00:00:00+00:00,SHORT_DCA,2,3573.29,99.3147,2.78,96.0
150,ATOM/USDT,2025-06-05T00:00:00+00:00,2025-06-13T00:00:00+00:00,SHORT_DCA,5,5916.52,128.625,2.17,192.0
151,ATOM/USDT,2025-06-14T00:00:00+00:00,2025-06-17T00:00:00+00:00,SHORT_DCA,1,2173.92,33.9903,1.56,72.0
152,ATOM/USDT,2025-06-18T00:00:00+00:00,2025-06-20T00:00:00+00:00,SHORT_DCA,1,2184.45,44.8386,2.05,48.0
153,ATOM/USDT,2025-06-21T00:00:00+00:00,2025-06-22T00:00:00+00:00,SHORT_DCA,1,2198.5,41.775,1.9,24.0
154,ATOM/USDT,2025-06-23T00:00:00+00:00,2025-06-25T00:00:00+00:00,SHORT_DCA,1,2211.53,38.2413,1.73,48.0
